지점,지점명,일시,평균기온,최저기온,최고기온,일강수량,평균상대습도
108,서울,2024-07-01,26.3,22,31.3,,69.1
108,서울,2024-07-02,23.2,21.9,25.2,65.1,90
108,서울,2024-07-03,24.7,23.6,25.9,.8,80.3
108,서울,2024-07-04,26.8,23.2,30.6,3.6,74.8
108,서울,2024-07-05,23.4,21.3,26.1,4.1,80.5
108,서울,2024-07-06,25.1,22.1,30,2.8,84.1
108,서울,2024-07-07,24.4,21.5,28.2,28.7,85.1
108,서울,2024-07-08,23.8,23.1,24.5,21.1,93.4
108,서울,2024-07-09,24.5,22.7,26.7,.3,86.9
108,서울,2024-07-10,26.6,22.7,31.1,1.4,77.1
108,서울,2024-07-11,25.7,23.3,28.9,,79.6
108,서울,2024-07-12,25.6,21.8,30.2,,79.5
108,서울,2024-07-13,28.1,23.5,33.3,0,70
108,서울,2024-07-14,28.4,24.9,32.1,.4,65.9
108,서울,2024-07-15,28.4,24.5,31.3,0,64.6
108,서울,2024-07-16,27,24.6,30.7,17,78.4
108,서울,2024-07-17,25.4,24.1,28.1,98.8,91.6
108,서울,2024-07-18,24.3,23.1,25.6,128.8,95.3
108,서울,2024-07-19,27,24.2,30.8,.1,80.1
108,서울,2024-07-20,27.2,25.1,30.6,14.9,80.4
108,서울,2024-07-21,26.5,22.5,29.8,8.5,83.6
108,서울,2024-07-22,26.6,24.3,27.9,79.9,89
108,서울,2024-07-23,26.4,25.8,27.3,2,87.9
108,서울,2024-07-24,28.1,26,30.9,14.7,85
108,서울,2024-07-25,28.8,25.4,32.2,25.3,79.8
108,서울,2024-07-26,28.7,25.2,32.7,5.5,81.9
108,서울,2024-07-27,28.9,27.5,31.7,33.5,83.6
108,서울,2024-07-28,29.2,27.3,32.2,0,76
108,서울,2024-07-29,27.4,26.8,27.8,0,84
108,서울,2024-07-30,28.6,26.3,31.9,,78.8
108,서울,2024-07-31,29.4,27,33.3,,74.5
108,서울,2024-08-01,29.9,27.3,33.2,.3,75.5
108,서울,2024-08-02,29.6,28.2,32.5,,79.4
108,서울,2024-08-03,30.2,27.2,34.2,,75
108,서울,2024-08-04,31.8,27.3,36.2,,69.3
108,서울,2024-08-05,30,26.9,33.7,1.3,75.5
108,서울,2024-08-06,29.5,25.6,33.5,0,74.8
108,서울,2024-08-07,29.6,27.2,33.4,3.4,72
108,서울,2024-08-08,28.5,26.9,31.6,0,77.5
108,서울,2024-08-09,29.3,25.6,33.6,,74.1
108,서울,2024-08-10,30,26.4,33.6,,70.8
108,서울,2024-08-11,30.8,27.8,34.4,,67.8
108,서울,2024-08-12,31.1,28.2,34.1,,70.5
108,서울,2024-08-13,31.3,28.1,36.4,0,70
108,서울,2024-08-14,30,27.3,34.9,3,73
108,서울,2024-08-15,29.2,26.7,34.6,6.4,74.6
108,서울,2024-08-16,29.8,26.8,34.3,0,69.4
108,서울,2024-08-17,29.8,27.2,34,11,71
108,서울,2024-08-18,29.5,27,33.9,0,73.8
108,서울,2024-08-19,29.7,26.3,35.3,2.3,72.3
108,서울,2024-08-20,31.4,27,35.4,0,68.3
108,서울,2024-08-21,28.4,26.9,30.8,42.2,85.9
108,서울,2024-08-22,28.6,27.1,30.3,.6,79.9
108,서울,2024-08-23,28.4,26.4,31.8,0,73.5
108,서울,2024-08-24,27.6,25.1,30.9,2,78.8
108,서울,2024-08-25,28.5,24.9,32.7,,76.6
108,서울,2024-08-26,28.1,25.6,30.6,0,77.8
108,서울,2024-08-27,26.5,24.6,30.3,.3,69.8
108,서울,2024-08-28,28.2,23,33.2,,62.1
108,서울,2024-08-29,28.4,23.4,33.5,,61
108,서울,2024-08-30,28,23.7,32.9,,64
108,서울,2024-08-31,27.6,22.6,33,,65.6
108,서울,2024-09-01,27.1,24.6,31.6,,64.9
108,서울,2024-09-02,24.5,22.2,26.9,2.7,73.6
108,서울,2024-09-03,27,23.2,32,,54.5
108,서울,2024-09-04,27.9,23.2,33.3,,61.4
108,서울,2024-09-05,26.3,25.6,28.8,6.9,79.1
108,서울,2024-09-06,24,23.3,25.7,.7,79.3
108,서울,2024-09-07,26.5,22.8,31.3,0,68.9
108,서울,2024-09-08,27.2,22.6,32.8,,69.6
108,서울,2024-09-09,28.5,24.1,34.1,,69
108,서울,2024-09-10,29.4,25.6,33.9,,67.3
108,서울,2024-09-11,29,25.4,34.6,.4,71.5
108,서울,2024-09-12,25.4,24.8,27.1,32.7,91.5
108,서울,2024-09-13,25.9,24.2,28,7.6,91.4
108,서울,2024-09-14,28,25.2,32.2,0,80.3
108,서울,2024-09-15,27.5,24.2,32.4,,73.6
108,서울,2024-09-16,26.8,21.3,32.2,9.5,74
108,서울,2024-09-17,28.6,25.8,33.2,,77
108,서울,2024-09-18,29.4,26.5,33.6,.7,76.8
108,서울,2024-09-19,29.1,25.6,32.6,,77.4
108,서울,2024-09-20,25,17.9,28.6,54.5,89.8
108,서울,2024-09-21,19.3,17.1,21.9,27,82.3
108,서울,2024-09-22,21,16.9,26.7,,67.4
108,서울,2024-09-23,20.8,16.6,26.1,,58.3
108,서울,2024-09-24,21,15.6,26.9,,57.9
108,서울,2024-09-25,23.3,18.6,27.3,0,65.6
108,서울,2024-09-26,23.6,21.1,28,1.2,75.1
108,서울,2024-09-27,22.7,19.1,28,,72.8
108,서울,2024-09-28,23.2,19.2,27.9,,59.3
108,서울,2024-09-29,23.5,19.1,29,,61.5
108,서울,2024-09-30,23,18.3,28.5,,63
108,서울,2024-10-01,18.3,13.3,21.7,2.5,67.5
108,서울,2024-10-02,14.9,11.6,19.9,,48.8
108,서울,2024-10-03,16.4,10.8,22.5,,59
108,서울,2024-10-04,17.6,11.9,24.2,,60
